year,bloom_start,bloom_end,duration_days,threshold
2015,2015-08-01,2015-10-01,61,0.10807487143252309
2016,2016-01-01,2016-05-01,121,0.09109193676138105
2017,2017-06-01,2017-08-01,61,0.17446876791106403
2018,2018-01-01,2018-03-01,59,0.11002199667926055
2019,2019-05-01,2019-07-01,61,0.09282561058840699
2020,2020-06-01,2020-08-01,61,0.09185967403794747
2021,2021-06-01,2021-08-01,61,0.09004668051338585
2022,2022-08-01,2022-10-01,61,0.13688141520096625
2023,2023-01-01,2023-03-01,59,0.1091500305197951
2024,2024-05-01,2024-07-01,61,0.0951965704565867
