date,precip_mm
2015-01-01,0.06390184248584733
2015-02-01,0.09806761985180071
2015-03-01,5.563442094064545
2015-04-01,0.10441457015855973
2015-05-01,0.5434570119631983
2015-06-01,1.9913954062407035
2015-07-01,26.18625660159736
2015-08-01,23.332136090738373
2015-09-01,1.0401044760751317
2015-10-01,5.149633884625409
2015-11-01,2.699929593250568
2015-12-01,1.3644694315423738
2016-01-01,10.268773680704799
2016-02-01,17.034148652938526
2016-03-01,0.2680381278597006
2016-04-01,26.466697460185603
2016-05-01,10.835538375270287
2016-06-01,10.947928919949609
2016-07-01,7.6256847649682875
2016-08-01,3.1732412056935173
2016-09-01,0.2832632886644343
2016-10-01,0.30902076706814435
2016-11-01,14.976583695193053
2016-12-01,0.02971727069748855
2017-01-01,0.28211984213883134
2017-02-01,0.12429500531053642
2017-03-01,5.268405927526777
2017-04-01,1.2528808685470623
2017-05-01,70.16393318545133
2017-06-01,16.66939635243573
2017-07-01,5.373581762971435
2017-08-01,12.012478274417001
2017-09-01,0.5512074379167985
2017-10-01,0.24055450822770957
2017-11-01,0.898190874367128
2017-12-01,15.044125754516262
2018-01-01,9.328600871639644
2018-02-01,0.14929435508744615
2018-03-01,0.03263072860900703
2018-04-01,14.857225822676988
2018-05-01,4.4559396865981045
2018-06-01,11.82281211555401
2018-07-01,17.188041896015537
2018-08-01,2.501494963971647
2018-09-01,0.5884245055149125
2018-10-01,1.189953318673905
2018-11-01,0.07048688495609239
2018-12-01,8.676860263040627
2019-01-01,0.06594126406403505
2019-02-01,0.05429683066928859
2019-03-01,16.44394502450632
2019-04-01,17.889007347541224
2019-05-01,5.760391889628951
2019-06-01,2.315353167387601
2019-07-01,8.792913110100823
2019-08-01,1.446434737805211
2019-09-01,1.257016119809651
2019-10-01,2.4531315167053647
2019-11-01,3.189108638106734
2019-12-01,0.3497120646459355
2020-01-01,0.6535857237771888
2020-02-01,10.233771472235208
2020-03-01,0.9451257486559862
2020-04-01,2.9539643335032753
2020-05-01,3.7313626752643585
2020-06-01,7.979397367622334
2020-07-01,5.728732283403053
2020-08-01,2.943854940843167
2020-09-01,0.35976506247892814
2020-10-01,0.34077745830369593
2020-11-01,6.001441356413687
2020-12-01,2.175964571127853
2021-01-01,0.05496723926398209
2021-02-01,0.1214003451474885
2021-03-01,0.22773529341702825
2021-04-01,0.3968881535594375
2021-05-01,0.865685457576345
2021-06-01,8.064451468010715
2021-07-01,2.6840716163349296
2021-08-01,5.664733311984891
2021-09-01,0.12574860276166883
2021-10-01,0.026803811745845285
2021-11-01,1.2792899569873615
2021-12-01,0.21258531123700738
2022-01-01,0.1769440104928893
2022-02-01,0.04622686552942663
2022-03-01,2.671543762453738
2022-04-01,1.8963791054185162
2022-05-01,0.26376505625614016
2022-06-01,3.0166507095843462
2022-07-01,49.32542481669136
2022-08-01,1.3693251994879396
2022-09-01,0.349990878428745
2022-10-01,0.17674977996545477
2022-11-01,0.6900196062708986
2022-12-01,6.589076465827017
2023-01-01,2.177809756446614
2023-02-01,2.0708232028571527
2023-03-01,0.4571215463172503
2023-04-01,2.2375356463085483
2023-05-01,1.8640303797600484
2023-06-01,2.794851964492059
2023-07-01,6.47438325606517
2023-08-01,2.7012610167805664
2023-09-01,0.31249185570869087
2023-10-01,0.027483619631991044
2023-11-01,0.09576818102701085
2023-12-01,1.455175096299677
2024-01-01,0.01854901537000102
2024-02-01,0.806745889910648
2024-03-01,0.22045164647884252
2024-04-01,10.890975506117256
2024-05-01,3.836052903989392
2024-06-01,7.981935001860132
2024-07-01,8.93363310507929
2024-08-01,7.3617254046976335
2024-09-01,0.15676283423208123
2024-10-01,6.2688873368298985
2024-11-01,1.2603994851015077
2024-12-01,0.14625558715822795
2025-01-01,0.2766813863305388
2025-02-01,0.061051039683835934
2025-03-01,0.2598804457074489
2025-04-01,0.8946195432828512
2025-05-01,8.967914793273243
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
