year,month,precipitation
2015,1,3.668612317052728e-05
2015,2,0.0001536420880849561
2015,3,0.018555750089643115
2015,4,0.0010025771718524057
2015,5,0.00013734556856404015
2015,6,0.0020140984795307382
2015,7,0.03448889704241435
2015,8,0.03205700119382566
2015,9,0.0027905708679076342
2015,10,0.013452589077658858
2015,11,0.0003051618391452818
2015,12,0.0005236868276434803
2016,1,0.005073751427366214
2016,2,0.011581975800235626
2016,3,0.0005026908447663986
2016,4,0.026373077651423264
2016,5,0.011003411423553587
2016,6,0.009385886859059231
2016,7,0.012108694442420726
2016,8,0.0015017055111099223
2016,9,3.865686532431594e-05
2016,10,7.413022409251174e-05
2016,11,0.009630107437357512
2016,12,0.0001713787696044673
2017,1,0.00022534678550821825
2017,2,0.00013529902649969246
2017,3,0.0017222770269187042
2017,4,0.0023255515104882722
2017,5,0.15355749896665452
2017,6,0.03860486769395195
2017,7,0.0025413477833344036
2017,8,0.01632600701963609
2017,9,0.00014318199725026044
2017,10,0.00019131358446779104
2017,11,0.00039642236401210253
2017,12,0.013970287830848327
2018,1,0.002347987657552306
2018,2,5.245206040083654e-05
2018,3,1.834306158526364e-05
2018,4,0.011508300437233436
2018,5,0.014905329204582284
2018,6,0.014456454886092896
2018,7,0.02166944694210668
2018,8,0.0022342909864244364
2018,9,0.00020488138457760635
2018,10,0.0017573714066499552
2018,11,0.00017592663184238375
2018,12,0.004213067681136064
2019,1,9.171530579090488e-05
2019,2,0.00017206094958077878
2019,3,0.018601759634293627
2019,4,0.014955279866866964
2019,5,0.0070125068922300615
2019,6,0.00347411518441473
2019,7,0.014259304966147034
2019,8,0.002591374280649252
2019,9,0.0015580232675025426
2019,10,0.002034715461019628
2019,11,0.0014875313291430785
2019,12,0.0006880164028622646
2020,1,0.0013816418445531534
2020,2,0.010594861478998189
2020,3,0.0012437656910689473
2020,4,0.004159327092786134
2020,5,0.0055941789704618845
2020,6,0.015296142576700733
2020,7,0.010249526838129684
2020,8,0.004386872019120934
2020,9,2.364890584546387e-05
2020,10,0.0
2020,11,0.0040719322156789915
2020,12,0.0005344501076286499
2021,1,0.0010835291737009214
2021,2,0.00014674449481752244
2021,3,0.0011899492698772061
2021,4,0.001186007787705042
2021,5,0.0010928523199155423
2021,6,0.007415978474717426
2021,7,0.004953460374296154
2021,8,0.006509361274578261
2021,9,0.00022868188761462977
2021,10,0.0
2021,11,0.0009775639045983553
2021,12,9.959827654147283e-05
2022,1,0.00041901010314093984
2022,2,0.00014674449054669582
2022,3,0.002718790343607601
2022,4,0.0030705677905367534
2022,5,0.0012375502748041302
2022,6,0.003618055156566289
2022,7,0.07210900028676917
2022,8,0.0024516032257329177
2022,9,0.0006567119238624965
2022,10,0.0
2022,11,0.00041703935659278825
2022,12,0.007518684451771767
2023,1,0.002299098091047939
2023,2,0.0009422421390597332
2023,3,0.0013675434591790357
2023,4,0.001311604695209401
2023,5,0.0033961950784829656
2023,6,0.0060562422361547085
2023,7,0.01111998841247536
2023,8,0.004595391755576457
2023,9,0.0002348973030411653
2023,10,4.358372070878758e-05
2023,11,0.00018380960472836496
2023,12,0.0008441598196624429
2024,1,3.668612317052728e-05
2024,2,0.00011301448274226482
2024,3,0.0010078830139771929
2024,4,0.017236641430003967
2024,5,0.012882514159093264
2024,6,0.01571682027081475
2024,7,0.01176843835818994
2024,8,0.030689154550340537
2024,9,0.0
2024,10,0.006744106985554625
2024,11,0.00033184265745253805
2024,12,3.668612317052728e-05
